timestamp,price,market_cap,volume,log_price,return_1d,ma_7,ma_21,dow,month
2017-08-17 00:00:00+00:00,4196.725,,795.150377,8.342059738194251,0.0,4196.725,4196.725,3,8
2017-08-18 00:00:00+00:00,4177.81,,1199.888264,8.33754246477798,-0.004507085882444084,4187.2675,4187.2675,4,8
2017-08-19 00:00:00+00:00,4111.546666666666,,381.309763,8.321554554624212,-0.015860781924820433,4162.027222222222,4162.027222222222,5,8
2017-08-20 00:00:00+00:00,4080.7566666666667,,467.083022,8.314037707719429,-0.00748866606564913,4141.709583333333,4141.709583333333,6,8
2017-08-21 00:00:00+00:00,4047.4300000000003,,691.74306,8.305837390775924,-0.008166786061735265,4122.853666666667,4122.853666666667,0,8
2017-08-22 00:00:00+00:00,4056.67,,966.684858,8.308117719005812,0.0022829301556790416,4111.823055555556,4111.823055555556,1,8
2017-08-23 00:00:00+00:00,4156.673333333333,,1001.136565,8.332470353853925,0.024651582044714848,4118.230238095238,4118.230238095238,2,8
2017-08-24 00:00:00+00:00,4236.900000000001,,787.418753,8.351587148743128,0.01930069077675922,4123.969523809524,4133.063958333333,3,8
2017-08-25 00:00:00+00:00,4311.376666666667,,573.61274,8.369012544316215,0.017578103487612795,4143.050476190477,4152.876481481482,4,8
2017-08-26 00:00:00+00:00,4309.376666666667,,228.108068,8.368548547735278,-0.00046388895117022155,4171.311904761906,4168.5265,5,8
2017-08-27 00:00:00+00:00,4344.713333333333,,350.692585,8.376715059305091,0.008199948484428843,4209.02,4184.543484848485,6,8
2017-08-28 00:00:00+00:00,4428.06,,603.841616,8.395716843872227,0.019183467417106304,4263.395714285715,4204.836527777778,0,8
2017-08-29 00:00:00+00:00,4509.7699999999995,,603.545028,8.414001433413588,0.01845277615931118,4328.124285714285,4228.292948717949,1,8
2017-08-30 00:00:00+00:00,4622.503333333333,,808.468771,8.43869168437153,0.024997579329618436,4394.671428571429,4256.450833333333,2,8
2017-08-31 00:00:00+00:00,4704.9800000000005,,556.956802,8.456376801213422,0.017842424487164665,4461.54,4286.352777777778,3,8
2017-09-01 00:00:00+00:00,4677.313333333333,,560.666366,8.450479149994006,-0.005880294213082338,4513.816666666667,4310.7878125,4,9
2017-09-02 00:00:00+00:00,4605.376666666667,,929.148595,8.434979740494565,-0.015379911829725423,4556.102380952381,4328.116568627452,5,9
2017-09-03 00:00:00+00:00,4360.443333333334,,691.216198,8.380329013131007,-0.053184212945303844,4558.349523809524,4329.9125,6,9
2017-09-04 00:00:00+00:00,4325.22,,1394.644614,8.372218285124319,-0.008077924798166602,4543.6580952380955,4329.66552631579,0,9
2017-09-05 00:00:00+00:00,4362.116666666668,,1228.938157,8.380712692544817,0.008530587268778866,4522.564761904762,4331.288083333334,1,9
2017-09-06 00:00:00+00:00,4559.283333333334,,807.363726,8.424920726414227,0.04519976922518487,4513.533333333334,4342.1449999999995,2,9
2017-09-07 00:00:00+00:00,4531.393333333333,,500.429975,8.418784750286607,-0.006117189470567497,4488.735238095238,4358.081587301587,3,9
2017-09-08 00:00:00+00:00,4411.073333333334,,1132.255046,8.391873325070652,-0.02655253939553537,4450.700952380953,4369.189365079365,4,9
2017-09-09 00:00:00+00:00,4223.993333333333,,658.782952,8.348536247102023,-0.0424114463448807,4396.217619047619,4374.543968253968,5,9
2017-09-10 00:00:00+00:00,4199.216666666667,,660.373275,8.342653278940183,-0.0058656973890424124,4373.185238095239,4380.184920634921,6,9
2017-09-11 00:00:00+00:00,4167.52,,699.989065,8.335076413653626,-0.007548233202224197,4350.656666666667,4385.903492063492,0,9
2017-09-12 00:00:00+00:00,4105.626666666667,,879.630319,8.32011366959378,-0.014851358441791196,4314.015238095239,4388.234761904761,1,9
2017-09-13 00:00:00+00:00,3765.81,,913.462545,8.233718256537054,-0.08276852579549376,4200.661904761904,4369.622222222223,2,9
2017-09-14 00:00:00+00:00,3611.236666666666,,1665.021543,8.191805559607943,-0.04104650349681305,4069.210952380952,4339.828730158731,3,9
2017-09-15 00:00:00+00:00,3534.6566666666663,,1968.866492,8.170371449615718,-0.021206031913351908,3944.0085714285715,4302.842063492064,4,9
2017-09-16 00:00:00+00:00,3704.9799999999996,,1297.563953,8.217433139604957,0.0481866697095521,3869.8638095238093,4274.06126984127,5,9
2017-09-17 00:00:00+00:00,3816.65,,682.17121,8.247128353492515,0.030140513579020922,3815.2114285714283,4248.915396825398,6,9
2017-09-18 00:00:00+00:00,3881.6800000000003,,1030.006455,8.264023328595055,0.017038502351538698,3774.3771428571426,4222.897301587302,0,9
2017-09-19 00:00:00+00:00,3948.35,,902.332129,8.281053049106243,0.017175552853403664,3751.909047619047,4196.163015873016,1,9
2017-09-20 00:00:00+00:00,3806.6766666666663,,720.935076,8.244511821508668,-0.03588165520618325,3757.747142857143,4157.314126984127,2,9
2017-09-21 00:00:00+00:00,3701.9533333333334,,1001.654084,8.216615887255323,-0.02751043561181532,3770.7066666666665,4109.550952380952,3,9
2017-09-22 00:00:00+00:00,3661.9533333333334,,838.966425,8.20575198166154,-0.010805106493328775,3788.8919047619047,4061.2004761904764,4,9
2017-09-23 00:00:00+00:00,3678.6299999999997,,752.792791,8.210295679239907,0.004554035824232194,3785.127619047619,4017.0696825396826,5,9
2017-09-24 00:00:00+00:00,3786.9233333333336,,661.63639,8.239309183000099,0.029438495671848974,3780.880952380952,3989.759206349206,6,9
2017-09-25 00:00:00+00:00,3821.0399999999995,,727.994713,8.248277915855859,0.009009072448434186,3772.218095238095,3965.750634920635,0,9
