Date,Actual_Price_USD
2022-01-13,475.02911376953125
2022-01-14,489.867431640625
2022-01-15,494.9880676269531
2022-01-16,498.42791748046875
2022-01-17,475.7098693847656
2022-01-18,472.00506591796875
2022-01-19,462.82208251953125
2022-01-20,440.00543212890625
2022-01-21,383.07391357421875
2022-01-22,358.0961608886719
2022-01-23,383.9339599609375
2022-01-24,371.36895751953125
2022-01-25,384.6193542480469
2022-01-26,375.7554626464844
2022-01-27,390.0882873535156
2022-01-28,386.0843811035156
2022-01-29,389.1327819824219
2022-01-30,377.6129150390625
2022-01-31,375.2773132324219
2022-02-01,385.46380615234375
2022-02-02,367.4716796875
2022-02-03,370.87774658203125
2022-02-04,399.02960205078125
2022-02-05,414.20001220703125
2022-02-06,419.5455627441406
2022-02-07,433.2292785644531
2022-02-08,408.7767639160156
2022-02-09,422.4655456542969
2022-02-10,415.1192321777344
2022-02-11,400.4223937988281
2022-02-12,403.3897399902344
2022-02-13,398.88677978515625
2022-02-14,403.6607971191406
2022-02-15,432.4093933105469
2022-02-16,427.9181213378906
2022-02-17,402.4500427246094
2022-02-18,399.5691833496094
2022-02-19,400.0435791015625
2022-02-20,380.825927734375
2022-02-21,356.6612548828125
2022-02-22,374.3074645996094
2022-02-23,366.53948974609375
2022-02-24,361.2346496582031
2022-02-25,374.9149475097656
2022-02-26,373.6387634277344
2022-02-27,360.5310363769531
2022-02-28,395.6124267578125
2022-03-01,408.4822998046875
2022-03-02,409.00030517578125
2022-03-03,402.5506896972656
2022-03-04,374.2808837890625
2022-03-05,384.87335205078125
2022-03-06,375.0111999511719
2022-03-07,381.3446350097656
2022-03-08,381.95855712890625
2022-03-09,393.5557556152344
2022-03-10,372.1590270996094
2022-03-11,372.1840515136719
2022-03-12,372.7303771972656
2022-03-13,361.8498229980469
2022-03-14,373.4661560058594
2022-03-15,371.62884521484375
2022-03-16,385.5282287597656
2022-03-17,391.8247375488281
2022-03-18,397.6455078125
2022-03-19,399.8535461425781
2022-03-20,390.76837158203125
2022-03-21,396.44781494140625
2022-03-22,404.31494140625
2022-03-23,408.6097717285156
2022-03-24,414.1269836425781
2022-03-25,410.8111572265625
2022-03-26,415.9197998046875
2022-03-27,430.5032653808594
2022-03-28,430.390869140625
2022-03-29,434.50567626953125
2022-03-30,442.6848449707031
